date,country,cases
2020-01-20,Republic of Korea,NA
2020-01-21,Republic of Korea,0
2020-01-23,Republic of Korea,0
2020-01-24,Republic of Korea,1
2020-01-25,Republic of Korea,0
2020-01-26,Republic of Korea,0
2020-01-27,Republic of Korea,2
2020-01-28,Republic of Korea,0
2020-01-29,Republic of Korea,0
2020-01-30,Republic of Korea,0
2020-01-31,Republic of Korea,7
2020-02-01,Republic of Korea,1
2020-02-02,Republic of Korea,3
2020-02-03,Republic of Korea,0
2020-02-04,Republic of Korea,1
2020-02-05,Republic of Korea,2
2020-02-06,Republic of Korea,5
2020-02-07,Republic of Korea,1
2020-02-08,Republic of Korea,0
2020-02-09,Republic of Korea,3
2020-02-10,Republic of Korea,0
2020-02-11,Republic of Korea,1
2020-02-12,Republic of Korea,0
2020-02-13,Republic of Korea,0
2020-02-14,Republic of Korea,0
2020-02-15,Republic of Korea,0
2020-02-16,Republic of Korea,1
2020-02-17,Republic of Korea,1
2020-02-18,Republic of Korea,1
2020-02-19,Republic of Korea,20
2020-02-20,Republic of Korea,53
2020-02-21,Republic of Korea,100
2020-02-22,Republic of Korea,142
2020-02-23,Republic of Korea,256
2020-02-24,Republic of Korea,161
2020-02-25,Republic of Korea,214
2020-02-26,Republic of Korea,284
2020-02-27,Republic of Korea,505
2020-02-28,Republic of Korea,571
2020-02-29,Republic of Korea,813
2020-03-01,Republic of Korea,586
2020-03-02,Republic of Korea,476
2020-03-03,Republic of Korea,600
2020-03-04,Republic of Korea,516
2020-03-05,Republic of Korea,438
2020-03-06,Republic of Korea,518
2020-03-07,Republic of Korea,483
2020-03-08,Republic of Korea,367
2020-03-09,Republic of Korea,248
2020-03-10,Republic of Korea,131
2020-03-11,Republic of Korea,242
2020-03-12,Republic of Korea,114
2020-01-20,Japan,NA
2020-01-21,Japan,0
2020-01-23,Japan,0
2020-01-24,Japan,0
2020-01-25,Japan,2
2020-01-26,Japan,0
2020-01-27,Japan,1
2020-01-28,Japan,2
2020-01-29,Japan,1
2020-01-30,Japan,4
2020-01-31,Japan,3
2020-02-01,Japan,3
2020-02-02,Japan,3
2020-02-03,Japan,0
2020-02-04,Japan,0
2020-02-05,Japan,3
2020-02-06,Japan,2
2020-02-07,Japan,0
2020-02-08,Japan,0
2020-02-09,Japan,1
2020-02-10,Japan,0
2020-02-11,Japan,0
2020-02-12,Japan,2
2020-02-13,Japan,1
2020-02-14,Japan,4
2020-02-15,Japan,8
2020-02-16,Japan,12
2020-02-17,Japan,6
2020-02-18,Japan,6
2020-02-19,Japan,8
2020-02-20,Japan,12
2020-02-21,Japan,8
2020-02-22,Japan,12
2020-02-23,Japan,27
2020-02-24,Japan,12
2020-02-25,Japan,13
2020-02-26,Japan,7
2020-02-27,Japan,22
2020-02-28,Japan,24
2020-02-29,Japan,20
2020-03-01,Japan,9
2020-03-02,Japan,15
2020-03-03,Japan,14
2020-03-04,Japan,16
2020-03-05,Japan,33
2020-03-06,Japan,32
2020-03-07,Japan,59
2020-03-08,Japan,47
2020-03-09,Japan,33
2020-03-10,Japan,26
2020-03-11,Japan,54
2020-03-12,Japan,52
2020-01-20,Singapore,NA
2020-01-21,Singapore,0
2020-01-23,Singapore,0
2020-01-24,Singapore,1
2020-01-25,Singapore,2
2020-01-26,Singapore,1
2020-01-27,Singapore,0
2020-01-28,Singapore,3
2020-01-29,Singapore,0
2020-01-30,Singapore,3
2020-01-31,Singapore,3
2020-02-01,Singapore,3
2020-02-02,Singapore,2
2020-02-03,Singapore,0
2020-02-04,Singapore,0
2020-02-05,Singapore,6
2020-02-06,Singapore,4
2020-02-07,Singapore,2
2020-02-08,Singapore,3
2020-02-09,Singapore,7
2020-02-10,Singapore,3
2020-02-11,Singapore,2
2020-02-12,Singapore,2
2020-02-13,Singapore,3
2020-02-14,Singapore,8
2020-02-15,Singapore,9
2020-02-16,Singapore,5
2020-02-17,Singapore,3
2020-02-18,Singapore,2
2020-02-19,Singapore,4
2020-02-20,Singapore,3
2020-02-21,Singapore,1
2020-02-22,Singapore,1
2020-02-23,Singapore,3
2020-02-24,Singapore,0
2020-02-25,Singapore,1
2020-02-26,Singapore,1
2020-02-27,Singapore,2
2020-02-28,Singapore,3
2020-02-29,Singapore,2
2020-03-01,Singapore,4
2020-03-02,Singapore,4
2020-03-03,Singapore,2
2020-03-04,Singapore,2
2020-03-05,Singapore,0
2020-03-06,Singapore,7
2020-03-07,Singapore,13
2020-03-08,Singapore,8
2020-03-09,Singapore,12
2020-03-10,Singapore,10
2020-03-11,Singapore,6
2020-03-12,Singapore,12
2020-01-20,Italy,NA
2020-01-21,Italy,0
2020-01-23,Italy,0
2020-01-24,Italy,0
2020-01-25,Italy,0
2020-01-26,Italy,0
2020-01-27,Italy,0
2020-01-28,Italy,0
2020-01-29,Italy,0
2020-01-30,Italy,0
2020-01-31,Italy,2
2020-02-01,Italy,0
2020-02-02,Italy,0
2020-02-03,Italy,0
2020-02-04,Italy,0
2020-02-05,Italy,0
2020-02-06,Italy,0
2020-02-07,Italy,1
2020-02-08,Italy,0
2020-02-09,Italy,0
2020-02-10,Italy,0
2020-02-11,Italy,0
2020-02-12,Italy,0
2020-02-13,Italy,0
