date,country,cases
2020-01-20,Republic of Korea,1
2020-01-21,Republic of Korea,1
2020-01-23,Republic of Korea,1
2020-01-24,Republic of Korea,2
2020-01-25,Republic of Korea,2
2020-01-26,Republic of Korea,2
2020-01-27,Republic of Korea,4
2020-01-28,Republic of Korea,4
2020-01-29,Republic of Korea,4
2020-01-30,Republic of Korea,4
2020-01-31,Republic of Korea,11
2020-02-01,Republic of Korea,12
2020-02-02,Republic of Korea,15
2020-02-03,Republic of Korea,15
2020-02-04,Republic of Korea,16
2020-02-05,Republic of Korea,18
2020-02-06,Republic of Korea,23
2020-02-07,Republic of Korea,24
2020-02-08,Republic of Korea,24
2020-02-09,Republic of Korea,27
2020-02-10,Republic of Korea,27
2020-02-11,Republic of Korea,28
2020-02-12,Republic of Korea,28
2020-02-13,Republic of Korea,28
2020-02-14,Republic of Korea,28
2020-02-15,Republic of Korea,28
2020-02-16,Republic of Korea,29
2020-02-17,Republic of Korea,30
2020-02-18,Republic of Korea,31
2020-02-19,Republic of Korea,51
2020-02-20,Republic of Korea,104
2020-02-21,Republic of Korea,204
2020-02-22,Republic of Korea,346
2020-02-23,Republic of Korea,602
2020-02-24,Republic of Korea,763
2020-02-25,Republic of Korea,977
2020-02-26,Republic of Korea,1261
2020-02-27,Republic of Korea,1766
2020-02-28,Republic of Korea,2337
2020-02-29,Republic of Korea,3150
2020-03-01,Republic of Korea,3736
2020-03-02,Republic of Korea,4212
2020-03-03,Republic of Korea,4812
2020-03-04,Republic of Korea,5328
2020-03-05,Republic of Korea,5766
2020-03-06,Republic of Korea,6284
2020-03-07,Republic of Korea,6767
2020-03-08,Republic of Korea,7134
2020-03-09,Republic of Korea,7382
2020-03-10,Republic of Korea,7513
2020-03-11,Republic of Korea,7755
2020-03-12,Republic of Korea,7869
2020-01-20,Japan,1
2020-01-21,Japan,1
2020-01-23,Japan,1
2020-01-24,Japan,1
2020-01-25,Japan,3
2020-01-26,Japan,3
2020-01-27,Japan,4
2020-01-28,Japan,6
2020-01-29,Japan,7
2020-01-30,Japan,11
2020-01-31,Japan,14
2020-02-01,Japan,17
2020-02-02,Japan,20
2020-02-03,Japan,20
2020-02-04,Japan,20
2020-02-05,Japan,33
2020-02-06,Japan,25
2020-02-07,Japan,25
2020-02-08,Japan,25
2020-02-09,Japan,26
2020-02-10,Japan,26
2020-02-11,Japan,26
2020-02-12,Japan,28
2020-02-13,Japan,29
2020-02-14,Japan,33
2020-02-15,Japan,41
2020-02-16,Japan,53
2020-02-17,Japan,59
2020-02-18,Japan,65
2020-02-19,Japan,73
2020-02-20,Japan,85
2020-02-21,Japan,93
2020-02-22,Japan,105
