"","CNTY_CODE","date","total_case"
"1","420100",2020-01-15,41
"2","420100",2020-01-16,45
"3","420100",2020-01-17,62
"4","420100",2020-01-18,121
"5","420100",2020-01-19,198
"6","420100",2020-01-21,363
"7","420100",2020-01-22,444
"8","420100",2020-01-23,495
"9","420100",2020-01-24,572
"10","420100",2020-01-25,618
"11","420100",2020-01-26,698
"12","420100",2020-01-27,1590
"13","420100",2020-01-28,1905
"14","420100",2020-01-29,2261
"15","420100",2020-01-30,2639
"16","420100",2020-01-31,3215
"17","420100",2020-02-01,4109
"18","420100",2020-02-02,5142
"19","420100",2020-02-03,6384
"20","420100",2020-02-04,8351
"21","420100",2020-02-05,10117
"22","420100",2020-02-06,11618
"23","420100",2020-02-07,13603
"24","420100",2020-02-08,14982
"25","420100",2020-02-09,16902
"26","420100",2020-02-10,18454
"27","420100",2020-02-11,19558
"28","420100",2020-02-12,32994
"29","420100",2020-02-13,35991
"30","420100",2020-02-14,37914
"31","420100",2020-02-15,39462
"32","420100",2020-02-16,41152
"33","420100",2020-02-17,42752
"34","420100",2020-02-18,44412
"35","420100",2020-02-19,45027
"36","420100",2020-02-20,45346
"37","420100",2020-02-21,45660
"38","420100",2020-02-22,46201
"39","420100",2020-02-23,46607
"40","420100",2020-02-24,47071
"41","420100",2020-02-25,47441
"42","420100",2020-02-26,47824
"43","420100",2020-02-27,48137
"44","420100",2020-02-28,48557
"45","420100",2020-02-29,49122
"46","420100",2020-03-01,49315
"47","420100",2020-03-02,49426
